image,caption
dataset/images/27.png,"the bipedal pholidote Pokémon runs on all fours in Pokémon the Series. its brick-patterned yellow hide is dry and tough, blends in with desert sand."
dataset/images/28.png,Sandslash is a ground-dwelling pholidote Pokémon. most of its body is yellow with a white underbelly. it has two large claws on its paws and feet.
dataset/images/29.png,"a small, quadrupedal, mammalian Pokémon. It has large, spiny ears, oversized front teeth, red eyes, and whiskers on each cheek. It is light blue with several darker blue spots. There are two white claws on each of its paws. Its back is covered with small toxic spines, and it has a small forehead horn."
dataset/images/30.png,"quadrupedal, sky-blue mammalian Pokémon with dark-blue patches. it has red eyes, large, spiny ears, and two pointed teeth protruding from its upper jaw. its paws have three claws each, and"
dataset/images/31.png,"a large, bipedal blue mammalian mammalian Pokémon. its body is encased with extremely hard scales that serve as excellent protection from any attack and stand up when excited or provoked."
dataset/images/32.png,"a small, quadrupedal, mammalian Pokémon is pinkish purple with darker patches. its back is covered with three lines of large spines that can release potent poisons if threatened."
dataset/images/33.png,"a light-purple, quadrupedal mammalian Pokémon. it has several darker purple patches across its body. it has large, spiny ears with teal insides, narrow black eyes."
dataset/images/34.png,"a large, bipedal, purple mammalian Pokémon with distinct reptilian features. it has narrow eyes, large, spiny ears, fur-like tufts on its cheeks. a long, venomous horn is on its"
dataset/images/35.png,"a bipedal, pink Pokémon with a chubby, star-shaped body. a small, pointed tooth protrudes from the upper left corner of its mouth. it has wrinkles beside its black, oval eyes, a single dark pink oval marking"
dataset/images/36.png,"a tall, pink Pokémon with a vaguely star-shaped body hangs over its forehead. it has long, pointed ears with dark brown tips and black, oval eyes with wrinkles on either side."
dataset/images/37.png,"a small, quadrupedal, canine Pokémon has a red-brown pelt with a cream-colored underbelly. it has brown eyes, large, pointed ears with dark brown insides and a triangular dark brown nose."
dataset/images/38.png,"a quadrupedal canine Pokémon covered in thick, luxurious golden-white fur. It has a small mane of thicker fur around its neck and a long, fluffy crest atop its head. It has slender legs with three-toed paws and nine long tails with pale orange tips. It has red eyes, pointed ears, and a triangular black nose."
dataset/images/39.png,"a pink Pokémon with a spherical body has pointed ears with black insides and large, blue eyes. it has small, stubby arms and slightly longer feet."
dataset/images/40.png,"a balloon-like Pokémon with leporine features, a bean-shaped body and stubby arms and legs is described as perfectly heavenly. it has long, rabbit-like ears with black insides and a slightly lighter color at the tips."
dataset/images/41.png,"a blue, chiropteran Pokémon. While it lacks eyes, it has pointed ears with purple insides and a mouth with two sharp teeth on each jaw. A male will have larger fangs than a female. It has purple wing membranes supported by two elongated fingers and two long, thin tails."
dataset/images/42.png,"a large, blue, chiropteran Pokémon has purple wing membranes. it has small eyes with slit-like pupils, and tiny triangular ears with purple insides. the fangs are smaller on a female Golbat."
dataset/images/43.png,"a Pokémon that resembles a blue plant bulb or a root vegetable has a round body, beady red eyes, a small mouth, and ovoid feet. five large, green leaves sprout from its head."
dataset/images/44.png,"a blue, bipedal Rafflesia-like Pokémon with rudimentary hands and feet. on its head is a flower with spherical petals surrounded by four reddish-brown leaves. a female displays a"
dataset/images/45.png,Vileplume's flower is said to have the largest petals in the world. the rounded petals of the flower are red and covered with white spots.
dataset/images/46.png,"an orange, insectoid Pokémon that resembles the nymph stage of a cicada. its ovoid body is segmented, and it has three pairs of legs."
dataset/images/47.png,"an orange, insectoid Pokémon that has been completely overtaken by the parasitic mushroom on its back. It has a small head with pure white eyes and a segmented body that is mostly hidden by the mushroom. It has three pairs of legs with the foremost pair forming large pincers. The fungus growing on its back has a large red cap with yellow spots throughout."
dataset/images/48.png,"a pink pincer-like mouth with two teeth, stubby forepaws, and a pair of two-toed feet are visible through its fur. the most prominent feature on its face are its large, red compound eyes."
dataset/images/49.png,"a lepidopteran insect Pokémon whose body is varying shades of purple. its head and thorax are both light purple, and it has bulbous, round, light blue eyes, a small mandible, and a three-point crest on"
dataset/images/50.png,"the tiny, brown Pokémon seems to be perpetually buried within the earth. its small stature makes it both the lightest and shortest Ground-type."
dataset/images/51.png,"dugtrio can tunnel under the earth at 60 mph (100 km/h) to a depth of 60 miles (100 kilometers) each head will bob up and down to loosen the soil. the trio sleep together, never separating from each other."
dataset/images/52.png,"a small, feline Pokémon with cream-colored fur turns brown at the tips of its hind paws and tail. its ovoid head features four prominent whiskers, wide eyes with slit pupils, two pointed teeth in the upper jaw, and a gold"
dataset/images/53.png,Persian communicates with body language and holds its tail upright to signal its intention to pounce. it has long legs and three-toed paws with retractable claws.
dataset/images/54.png,"yellow Pokémon resembling a duck or a bipedal platypus. on top of its head are three thick strands of black hair. it has a wide, flat cream-colored beak."
dataset/images/55.png,"it has red eyes, a cream-colored beak, a red gem in the center of its forehead. its hands and feet all have three clawed digits with cream-colored webbing in between."
dataset/images/56.png,"a small, simian Pokémon is bipedal and has a round body covered in whitish, shaggy fur. it has narrow, red eyes and triangular ears with brown insides."
dataset/images/57.png,"a bipedal, simian Pokémon with a round body covered in light beige, shaggy fur. it has triangular ears with pink insides, narrow eyes with tiny pupils, and a pink, snout-like nose."
dataset/images/58.png,growlithe's coat is noticeably longer on its chest and tail. its hind paws have three toes each.
dataset/images/59.png,"the canine Pokémon has an orange pelt marked by jagged black stripes. it has diamond-shaped ears with beige insides, black eyes, a round, black nose, and two pointed teeth."
dataset/images/60.png,"an amphibian Pokémon resembling a blue, spherical tadpole. it has large eyes and pink lips that can also act as suction cups for rocks. its skin is very thin, but flexible and difficult to puncture "
dataset/images/61.png,"a blue, bipedal amphibian Pokémon has a spherical body. it has bulbous eyes that protrude from the top of its head. a black and white swirl covers its belly."
dataset/images/62.png,"a blue, bipedal amphibian Pokémon with a round body and muscular arms. It has bulbous eyes that protrude from the top of its head and its belly is covered by a white and black swirl. There appear to be white gloves on its hands, and it has rounded, digit-less feet."
dataset/images/63.png,"the bipedal mammalian Pokémon is primarily yellow. its face is kite-shaped with a pale yellow snout and two short, pointed ears. its wide eyes are normally closed."
dataset/images/64.png,"the Pokémon has two long, pointed ears on top of its head, a red star on its forehead, narrow, deep-set eyes, and wide cheeks leading down to a thin snout. a male will have a longer mustache than a female"
dataset/images/65.png,"a female Pokémon has a shorter mustache than a male. it has a long, thin snout, narrow eyes, ear-like spikes extending from the top of its head."
dataset/images/66.png,"a humanoid, bipedal Pokémon has blue-gray skin. it has three brown ridges on top of its head, large red eyes, and a relatively flat face."
dataset/images/67.png,"a bipedal, humanoid Pokémon covered in blue-gray skin (purple prior to Generation VI) it has a vaguely reptilian face with a short snout, narrow red eyes, and four pointed teeth visible inside its mouth "
dataset/images/68.png,"a humanoid Pokémon has four well-muscled arms. it has bluish-gray skin, red eyes, and large, pale, yellow lips. it has black markings that resemble briefs."
dataset/images/69.png,a plant-based Pokémon with a stem-like brown body. there is a single green leaf on each side of its body. it is capable of spitting corrosive acid from its mouth.
dataset/images/70.png,"a pitcher plant Pokémon with a yellow, bell-shaped body. Above Weepinbell's circular eyes are three small green spots and a small, brown hook-shaped stem. It has wide, gaping mouth with pink lips. On each side of its body is a large, green leaf."
dataset/images/71.png,a pitcher plant Pokémon has a bell-shaped body. it has a gaping mouth with pink lips and two sharp teeth. it has several dark green spots on its body.
dataset/images/72.png,"a small, cnidarian Pokémon has a light blue, clear body. it has two large, transparent, red, crystalline eyes on each side of its body. there are two grayish tentacles extending from beneath its round lower body "
dataset/images/73.png,"large, cnidarian Pokémon has a clear, light blue body with two large, red orbs on either side and a smaller orb in the center. its eyes are visible in its round lower body, which is black."
dataset/images/74.png,"Geodude uses its arms to climb steep mountain paths. it has bulging, rocky eyebrows, trapezoidal eyes with brown pupils."
dataset/images/75.png,"a bipedal, boulder Pokémon has four arms, each with a three-fingered hand. it has a rocky crest above its small eyes and mouth."
dataset/images/76.png,"a bipedal tortoise-like boulder Pokémon with a spherical body covered by a shell of plated, green rocks. it has a flat snout with two pointed teeth in the lower jaw and red eyes."
dataset/images/77.png,the equine Pokémon has cream-colored fur that resembles a foal/filly. it has brown eyes and triangular ears with reddish interiors.
dataset/images/78.png,equine Pokémon has cream-colored fur and a pointed horn on its forehead. a short version of the mane trails down its back to its equally fiery tail.
dataset/images/79.png,"a pink Pokémon that resembles a cross between a salamander and a hippopotamus. it has vacant eyes that never seem focused, curled ears, and a rounded, tan muzzle. it has four legs,"
dataset/images/80.png,"a pink Pokémon has a tan, striped belly and a rounded, tan muzzle. it has large, vacant eyes, curled ears, and two pointed teeth protruding from its upper jaw. there is a shell attached to"
dataset/images/81.png,"Magnemite has a gray, spherical metal body, with horseshoe magnets on each side and a single, large eye. it has three Phillips head screws on its body: two near the bottom of its body and the one on top of"
dataset/images/82.png,a single Magnemite has a gray spherical body with a single eye. the topmost Magnemite has three Phillips head screws on its body. magnetic forces that hold the three Magnemite together are powerful enough to dry up
dataset/images/83.png,"an avian Pokémon that resembles a light brown duck with a white underbelly. it has a flat, yellow beak, brown eyes, a V-shaped black marking on its forehead. its wings are as big as its body and appear to"
dataset/images/84.png,"a two-headed, bipedal avian Pokémon has a long sharp beak and two beady black eyes. each head has a long sharp beak and two beady black eyes. a male has black flexible necks, "
dataset/images/85.png,"each head has a long, sharp beak and a black V-shaped, feather crest. it has bristly brown feathers covering its head and upper body. its lower half has a smooth layer of black feathers."
dataset/images/86.png,"it has a pale tan canine maw with a large red tongue and a pair of tusks on its lower jaw. it has circular eyes, prominent black eyebrows and a black nose that is capable of closing when it swims."
dataset/images/87.png,"a pinniped Pokémon has a snowy white, furry body. its fur renders it virtually invisible in snowy conditions. its tail allows it to be a swift and agile swimmer at speeds of 8 knots."
dataset/images/88.png,"the slimy, amorphous Pokémon is born from sludge in dirty streams or seabeds exposed to lunar radiation. it has two large eyes with beady pupils and a gaping mouth with a gray tongue. its purple sludge"
dataset/images/89.png,"a large, sticky, amorphous Pokémon made of living purple sludge. it has two small eyes with beady black pupils."
dataset/images/90.png,"shell is a bivalve mollusk Pokémon encased within a blue-violet bivalve shell. it has two round white eyes with tiny black pupils. its long, red tongue extends from its often closed mouth."
dataset/images/91.png,"black bivalve mollusk Pokémon is encased inside a light-gray shell. it is surrounded by a second jagged, blue-violet outer shell casing. it has one barb-like spike protruding from above"
dataset/images/92.png,"Gastly has a wide, pink mouth with two visible fangs. its eyes seem to extend past its round body."
dataset/images/93.png,"a purple Pokémon with a gaseous body. it has triangular eyes with small pupils and a mouth with a long, pink tongue."
dataset/images/94.png,"a dark purple, bipedal Pokémon with a roundish body. it has red eyes, a wide mouth that is usually curled into a sinister grin. its arms and legs are short with three digits on both its hands and feet."
dataset/images/95.png,a giant chain of gray boulders becomes smaller towards the tail. on top of its head is a rocky spine. inside its brain is a magnet that serves as an internal compass.
dataset/images/96.png,"the upper half of Drowzee's body is yellow and the lower half is brown. it has a round belly and short legs, except for its two toes."
dataset/images/97.png,"a bipedal, slightly humanoid Pokémon that has yellow skin. it has triangular ears with brown interiors, sleepy-looking eyes, and a large nose. on its neck, it has a ruff of white fur, which is"
dataset/images/98.png,a crustacean Pokémon with a strong outer shell protects its small body. its upper half is red and has its eyes and two small spikes on the top of its head. its lower body is light tan and doubles as its jaw.
dataset/images/99.png,"a crustacean Pokémon resembling a crab features a red upper half and a light tan lower half. its upper half is topped with six tall, thin spikes that resemble a crown. its lower half doubles as its"
dataset/images/100.png,"a spherical Pokémon that resembles a buttonless Poké Ball with eyes. The top half is red, while the bottom half is white. Because of its resemblance to Poké Balls, it is thought that it was created when one was exposed to an energy pulse. This is supported by the fact that its components do not occur naturally."
dataset/images/101.png,"a round Pokémon resembling an upside-down Poké Ball with a smile mouth, black slit eyes, prominent black eyebrows that are usually depicted with an angry expression and eyes. Its top half is white, while its lower half is red. The Pocket Monsters Carddass Trading Cards depict Electrode as hollow."
dataset/images/102.png,"a Pokémon resembling a group of six light pink ""eggs"" has a slightly different facial expression. each face has triangular eyes with tiny black pupils and a small mouth. more numerous cracks are a sign that it is close"
dataset/images/103.png,"a tall, bipedal Pokémon that resembles a coconut tree or palm tree. its body and legs are light brown with thin black rings. there is a light yellow paw pad on each foot's underside."
dataset/images/104.png,"a small, bipedal, dinosaur-like reptilian Pokémon with a light brown hide covers most of its body, except for its cream-colored belly. two small claws, one on each hand, serve as its thumbs, and one large nail on each"
dataset/images/105.png,a bipedal Pokémon has light brown skin and a cream-colored underside. it has two pointed spikes on the back similar to ears and tiny nostrils.
dataset/images/106.png,a humanoid Pokémon has an ovoid body. its upper torso has almond-shaped eyes with black space around them. each hand has three fingers and each foot has clawed toes.
dataset/images/107.png,"a tan, humanoid Pokémon that is exclusively male and has no female counterpart. it appears to be wearing a light purple tunic and kilt, red boxing gloves and light purple boxing shoes."
dataset/images/108.png,"a bipedal amphibian Pokémon has a round body and a thick, powerful tail. it has curved yellow lines on its belly and a yellow ring marking on each knee. there is a yellow spot on its palms and the soles of"
dataset/images/109.png,a full set of teeth is shown in the Pokémon the Series: Black & White episode Rocking the Virbank Gym! Part 1. below its face is a cream-colored skull-and-crossbones marking.
dataset/images/110.png,"purple Pokémon consisting of two spherical heads connected by a thin tube with another sphere in the center. the left head is larger and has prominent eyebrows, pointed teeth protruding from its lower jaw, and two flat teeth in its upper jaw."
dataset/images/111.png,"a rhinoceros-like Pokémon has a body covered in gray, rocky plates. its underside and rear are smooth, and it has four short legs with two claws on each foot. a female will have a shorter horn than a male "
dataset/images/112.png,"large, gray, bipedal Pokémon with features similar to dinosaurs and rhinoceroses. on top is a spike that curves forward, two triangular points resembling ears on the sides, a wide, wavy crest under each "
dataset/images/113.png,"a pink, ovoid Pokémon has stubby arms and dark pink feet. it has tiny eyes and three hair-like growths on each side of its head."
dataset/images/114.png,it is a plant Pokémon covered in seaweed-like vines that obscure its face. there is a small opening in the vines that reveals its eyes surrounded by a black space.
dataset/images/115.png,"a large, bipedal marsupial Pokémon has a brown hide with several raised patches and a cream-colored belly. it has large, cream-colored ears, narrow, red eyes, and a short, rounded snout with two fang"
dataset/images/116.png,"the piscine Pokémon is similar to a seahorse. it has red eyes, a long, tubular mouth, and three spike-like fins on either side of its head."
dataset/images/117.png,"the piscine Pokémon is similar to a seahorse with a cream-colored belly covered in rough scales. it has a long tubular mouth, narrow, black eyes, a fin-like ridge above each eye, and spiny pectoral fin"
dataset/images/118.png,goldeen's billowing tail fin is orange around the base and turns white toward the edges. it has circular blue eyes with orange lids and prominent pink lips.
dataset/images/119.png,most of its body is orange with a patch of white under its mouth and along its underside. it has billowing pectoral fins and a pair of tail fins shaped like butterfly wings.
dataset/images/120.png,"a golden-brown, echinoderm Pokémon with faceted skin and five appendages surround an exterior organ called the core. the core resembles a golden metal casing with a red gem in the center."
dataset/images/121.png,the front starfish has a golden formation in the center. the second starfish is semi-attached to the back of the first and can spin 360 degrees.
dataset/images/122.png,"is a bipedal, humanoid Pokémon. blue growths resembling clown hair extend from the sides of its pale pink head. there is a magenta circle on each cheek."
dataset/images/123.png,female Scyther have larger abdomens than male Scyther. female Scyther have larger abdomens than male Scyther.
dataset/images/124.png,"a bipedal, humanoid Pokémon that resembles a woman. it wears a red gown with two gold circlets on the chest. the games show only blackness under the dress."
dataset/images/125.png,"a slightly humanoid Pokémon with a few feline traits. it has antennae with bulbous tips where its ears should be, two long tufts of fur on top of its head, small eyes, and two large fangs in its upper jaw."
dataset/images/126.png,"the bipedal Pokémon has a red body with yellow flame designs along the bottom half. it has a puckered tan beak, small eyes, and two lumps on its forehead with a yellow flame on top of each one."
dataset/images/127.png,"a bipedal, coleopteran insectoid Pokémon with a wide, dull-brown body divided into segments by thin lines. on top of its head is a large pair of gray, spiky pincers on top of its head."
dataset/images/128.png,"a quadrupedal, bovine Pokémon is covered in light brown fur with a thick, darker brown mane around the neck. it has a hump on its shoulders, a rounded muzzle with a dark brown nose, small, triang"
dataset/images/129.png,a long-lived Magikarp is able to leap high enough to scale mountains. it has a strong enough immune system to survive in the most polluted of waters.
dataset/images/130.png,"a piscine, draconic Pokémon with a long serpentine body covered in slightly overlapping scales. it is mostly blue with a yellow underbelly, and it has a row of yellow spots down each side. its mouth is very large and gaping"
dataset/images/131.png,marine reptilian Pokémon resembles a plesiosaur. it has a blue hide with darker blue spots and a cream-colored underside.
dataset/images/132.png,"Ditto is a light-purple or pink blob-like Pokémon with vestigial facial features. it is often referred to as amorphous, but has a relatively consistent appearance in official artwork."
dataset/images/133.png,"a small, mammalian, quadrupedal Pokémon with primarily brown fur. The tip of its bushy tail and its large furry collar are cream-colored. It has short, slender legs with three small toes and a pink paw pad on each foot. Eevee has brown eyes, long pointed ears with dark brown interiors, and a small black nose."
dataset/images/134.png,Vaporeon's body is light blue with a dark blue marking around its head and a spiky ridge down its spine. there is a white fin encircling its neck and three fins with cream-colored webbing on its head.
dataset/images/135.png,"a quadrupedal, mammalian Pokémon. It is covered in yellow fur with a spiky fringe around its tail and a white ruff around its neck. Its ears are large and pointed with black interiors, and its eyes and small nose are black. It has slender legs and small paws, each with three toes and a pink paw-pad."
dataset/images/136.png,"mammalian, quadrupedal Pokémon covered in short, reddish-orange fur. there are three small toes and a yellow paw pad on each foot."
dataset/images/137.png,"artificial Pokémon was created in 1995 by Silph Co.,[1] but documents claim it was created using the state-of-the-art technology of its time. it has a pink polyhedral head that ends in a blue beak and has hexagonal"
dataset/images/138.png,"a small extinct cephalopod mollusk Pokémon similar to an ammonite or nautilus. it has a sky blue body with ten tentacles and a pale yellow, helix-spiraled shell on its"
dataset/images/139.png,a cephalopod mollusk Pokémon is similar to an ammonite or nautilus. it's sky blue body has several tentacles; the tentacles toward the front are shorter and thicker than those in the back.
dataset/images/140.png,"it is mostly flat with a protective, brown shell covering its body. only its four short, yellow legs and a second pair of luminescent red eyes are visible on its underside."
dataset/images/141.png,"a bipedal prehistoric arthropod Pokémon with a skeletal, well-armored build. it has a flat, half-circular head with a point on each side and two small eyes on the front. it is mostly brown, except for"
dataset/images/142.png,"a reptilian, bipedal prehistoric Pokémon that resembles a pterosaur with several draconic features. it has small sharply pointed ears, narrow dark green eyes, a ridged snout, "
dataset/images/143.png,"Snorlax's bulk makes it the heaviest Normal type. it has a cream-colored face, belly, and feet."
dataset/images/144.png,"a large avian Pokémon with predominantly sky blue plumage and wings said to be made of ice. on its forehead is a crest that consists of three, darker blue rhombus-shaped feathers. it has circular red eyes, a"
dataset/images/145.png,"a large, avian Pokémon with predominantly yellow plumage. its wings and tail are a mass of spiky feathers and there are black feathers."
dataset/images/146.png,"a large, avian Pokémon with a light yellow plumage. its wings are shrouded in fiery plumage."
dataset/images/147.png,"a reptilian Pokémon with a blue serpentine body and a white underside. It has white, three-pronged fins on the sides of its head and a white bump on its forehead, which is its horn growing. Above its round, white snout are oval, purple eyes."
dataset/images/148.png,"a long, serpentine reptilian Pokémon with sky blue scales and a white underside. it has a rounded snout, oval purple eyes, and a small white horn on its forehead."
dataset/images/149.png,"draconic, bipedal reptilian Pokémon with light orange skin. it has large, grayish-green eyes and a round snout with small nostrils. it has thick arms and legs ending in three claws each."
dataset/images/150.png,"artificial Pokémon is a bipedal, humanoid, humanoid Pokémon. its body is gray with a long, purple tail and a large purple underbelly."
dataset/images/151.png,"it has a rounded, wide snout, triangular ears and large blue eyes. it has short arms with three-fingered paws and large hind paws."
dataset/images/152.png,"a small, pale-green, quadrupedal Pokémon with dark-green buds around its neck. it has four short legs with a single nailed toe on each and a stubby tail."
dataset/images/153.png,"a pale-yellow reptilian Pokémon that resembles a sauropod dinosaur. it has a long neck, red eyes, a short, rounded snout, and a stubby tail. each foot has"
dataset/images/154.png,"a pale-green reptilian Pokémon that resembles a sauropod dinosaur. it has a long neck; yellow eyes; a short, blunt snout; and two stamen-like antennae on top of its snout"
dataset/images/155.png,"a small, bipedal mammalian Pokémon has bluish fur on top of its body and cream-colored fur on its underside. its arms are short, but its legs are slightly more developed and have a single nail on each foot."
dataset/images/156.png,"the top half of its body is a dark blue-green, while its underside is cream-colored. it has triangular ears with dark red interiors, a rounded snout and triangular red eyes."
dataset/images/157.png,"a bulky mammalian Pokémon has a long, yet agile body. it is classified as a quadruped, but is capable of bipedal movement. most of its body is cream-colored, but its back and the top of its head are"
dataset/images/158.png,"the bipedal, crocodilian Pokémon has well-developed jaws. it has red eyes with ridges above them, black markings around its eyes. there is a yellow, V-shaped marking that extends to its arms."
dataset/images/159.png,"the bipedal, crocodilian Pokémon has well-developed, rounded jaws. its eyes are red with black markings around them."
dataset/images/160.png,"three teeth are visible when its jaws are closed: two in its lower jaw and one in its upper jaw. there are three red spines on its body, each with three points. there are also several groups of large, rectangular scales on its arms, knees, tail"
dataset/images/161.png,"small mammalian Pokémon covered in brown fur. it has long, dark brown ears with dark pink interiors, beady black eyes."
dataset/images/162.png,"a long, slim-bodied mustelid Pokémon with cream-colored fur and dark brown rings along the length of its body. the back of its head and neck are also dark brown; this marking extends to below its arms where the first ring is formed."
dataset/images/163.png,"most of its feathers are brown, but its belly is cream-colored. it has large, red eyes; a small, pinkish beak; stubby wings; and a fan-like tail."
dataset/images/164.png,an avian Pokémon that resembles an owl can grow a small beard. it has light brown plumage with a darker brown pattern of triangles on its chest.
dataset/images/165.png,"a coleopteran insectoid Pokémon that resembles a ladybug is red with five black spots. it has large, round white eyes with big black pupils and a pair of black antennae."
dataset/images/166.png,"a coleopteran insectoid Pokémon resembles a slightly humanoid ladybug. it has a pair of black antennae, a black spot in the center of its forehead and on the back of its head, blue eyes, and a"
dataset/images/167.png,"a green arachnid Pokémon has black eyes with white pupils, a white horn on its forehead, and a pair of red mandibles. on the back of its abdomen are two black dots and a line that resembles a face"
dataset/images/168.png,"the red arachnid Pokémon has purple eyes, a pair of white mandibles, and a white horn on its forehead. around its abdomen are two black stripes and there are two black spots and a yellow spinneret on its rear "
dataset/images/169.png,"purple, chiropteran Pokémon with a small, round body. on its body are two pairs of wings: an upper pair that is slightly larger and a lower pair that developed from its hind legs. the upper wings have two claw-like fingers near the middle "
dataset/images/170.png,"a small, piscine Pokémon with a round, blue body. positioned on Chinchou's rear, where its tail would be, are a pair of antennae that curve up and over its head."
dataset/images/171.png,"a blue piscine Pokémon is resembling an anglerfish. it has big, red eyes with a yellow mask-like marking around them. on its back is a Y-shaped antenna with a spherical orb at each tip"
dataset/images/172.png,"a small, ground-dwelling rodent Pokémon with pale yellow fur. Its ear-tips, collar, and tail are black and angular. Pichu's pink cheek pouches can store small amounts of electricity, and its tiny nose looks like a dot. Pichu is classified as a quadruped, but it can walk easily on its hind legs."
dataset/images/173.png,the visual description of the Pokemon is vaguely star-shaped. it has a curl on its forehead and a curled-up tail.
dataset/images/174.png,"Igglybuff has small, stubby limbs, and is usually seen levitating in the air. it secretes sweat with a sweet fragrance, which calms the emotions of its foes."
dataset/images/175.png,"a small, light-yellow Pokémon with a rounded, egg-shaped body remains encased in its eggshell. that shell has a white base color, and rounded, mostly unfilled shapes dot the shell on all sides."
dataset/images/176.png,"a dainty, bipedal Pokémon that is small in stature. It is white with a red and blue triangular ring pattern on its body. It also has a relatively long neck and long legs and a pair of wings on its back, giving it a vaguely angelic appearance. Togetic is capable of levitating itself without needing to flap its wings."
dataset/images/177.png,"a tiny, mostly green avian Pokémon with a nearly spherical body colored in accents of red, yellow, and black. it possesses brightly colored, yellow-and-red wings with thick black stripes. the wings are small and not fully"
dataset/images/178.png,"a green, trogon-like Pokémon with long, red-and-black tipped white wings. underneath its wings are designs that resemble red eyes. there is an extra set of yellow stripes on a male Xatu."
dataset/images/179.png,ovine Pokémon has cream-colored wool covering its entire body. its conical ears and tail have a yellow-and-black striped pattern.
dataset/images/180.png,"a pink, bipedal, ovine Pokémon is a pink, bipedal, ovine. it has thick, conical ears with black stripes on the sides of its head. a white mane of wool covers its head and upper body."
dataset/images/181.png,"a yellow, bipedal ovine Pokémon has a white belly. it has conical ears with black stripes and a red orb on its forehead. it has a long, black-striped tail with a red orb at the tip."
