Pokedex_number,ImageLocation,Caption
16,dataset/images/16.png,"Pidgey is a small, plump-bodied avian Pokémon. It is primarily brown with a cream-colored face, underside, and flight feathers. On top of its head is a short crest of three tufts. The center crest feathers are brown, and the outer two tufts are cream-colored. Just under its crest are its narrow eyes, which have white sclera and pupil and black irises. Angular black markings extend from behind its eyes and continue down its cheeks. It has a short, stubby beak and feet with two toes in front and one in back. Both its beak and feet are a grayish-pink. It has a short, brown tail made of three feathers.
"
17,dataset/images/17.png,"Pidgeotto is a raptor-like avian Pokémon. It is covered with brown feathers and has a cream-colored face, underside, and flight feathers. It has a crest of pinkish-red feathers on its head and black, angular markings behind its black eyes. The plumage of its tail has alternating red and yellow feathers with ragged tips. Pidgeotto's beak and legs are pink. Two of its toes point forward, while one points backward. Additionally, it has powerful, sharp talons that it uses to grasp prey.
"
18,dataset/images/18.png,"Pidgeot is an avian Pokémon with large wings, sharp talons, and a short, hooked beak. Its glossy plumage is mostly brown with cream-colored underparts and flight feathers. Its head has a decorated crest nearly as long as its body. The center feathers of its crest are yellow, while the outer feathers are red. The fan-like feathers of its tail are red or brown. Its beak and legs are pink, with three forward-facing toes and one backward-facing toe on each foot. Behind each eye is an angular black marking.
"
19,dataset/images/19.png,"Rattata is a small, quadrupedal rodent Pokémon. It has purple fur with a cream-colored face, paws, and underbelly. It has narrow eyes containing white sclera and pupil with red irises, rounded ears with cream-colored insides, and a single whisker on each cheek. Its long tail is tightly curled at the end. Its most notable feature is its large teeth. Like most rodents, its teeth grow continuously throughout its life and must be worn down by gnawing. This also ensures that Rattata is not awoken by the sound of its grinding teeth while sleeping. Females will have shorter whiskers.
"
20,dataset/images/20.png,"Raticate is a large, rodent-like Pokémon. Although it is often depicted on its hind legs, it is a quadruped. It is primarily tawny-colored with a cream underside. It has narrow black eyes, ears with ragged edges and dark insides, and large incisors that grow constantly. There are three whiskers on each side of its face, which it uses to maintain balance. It has short arms with three-fingered hands and webbed feet with three toes. The webbing on its feet allows it to swim. Its tail is long and scaly. Females will have shorter whiskers.
"
21,dataset/images/21.png,"Spearow is an avian Pokémon that is very small. It has rough, brown plumage on its head and three brown tail feathers. It has narrow, dark brown eyes with white pupils and a short, hooked beak that is light pink. The feathers covering its wings are pinkish-red with lighter tips, and it has a beige underside with two thin, horizontal stripes. Its light pink feet have two toes in front and one in the back. Black feathers cover its back.
"
22,dataset/images/22.png,"Fearow is a large, mostly brown avian Pokémon with a vulturine neck and broad, powerful wings. It has a long, pointed, pink beak and a decorative red coxcomb on top of its head. Its narrow eyes have very small pupils and do not appear to have colored irises. It has shaggy feathers at the base of its neck and covering the upper portion of its wings. These feathers are cream-colored, as are the tips of its flight feathers. Its sharp-clawed talons are pink, with three toes pointing forward and one pointing backward.
"
23,dataset/images/23.png,"Ekans is a purple, serpentine  Pokémon. Its eyes, underbelly, the thick stripe around its neck, and the rattle are yellow. Ekans have three pairs of black lines encircling their body, and another line connects to each slit-pupil eye and curves toward its nose. Its large mouth has a round, pink tongue and no visible teeth. While painful, a newborn Ekans's bite is not venomous. This Pokémon grows longer with age.
"
24,dataset/images/24.png,"Arbok is a serpentine Pokémon that resembles a cobra. It has narrow eyes and several sharp teeth. Just below its head is a large hood with a face-like pattern. This pattern has over 20 possible variations. The pattern typically has two red and yellow eyespots outlined in black, a wide black streak resembling an upturned mouth, and a black V-shaped stripe above the eyespots.
"
25,dataset/images/25.png,"Pikachu is a short, chubby rodent Pokémon. It is covered in yellow fur with two horizontal brown stripes on its back. It has a small mouth, long, pointed ears with black tips, and brown eyes. Each cheek is a red circle that contains a pouch for electricity storage. It has short forearms with five fingers on each paw, and its feet each have three toes. At the base of its lightning bolt-shaped tail is a patch of brown fur. A female will have a V-shaped notch at the end of its tail, which looks like the top of a heart. It is classified as a quadruped, but it has been known to stand and walk on its hind legs; therefore, Pikachu is a facultative biped.
"
26,dataset/images/26.png,"Raichu is a bipedal, rodent-like Pokémon. Even though it's classified as bipedal, Raichu usually get around on all fours. Raichu is covered in dark orange fur with a white belly. Its bifurcated ears are brown on the outside, yellow on the insides, and end in a distinctive curl. There is a circular yellow marking on each cheek where its electric sacs are, and it has a triangular, dark brown nose. Its arms and feet have patches of brown fur at the end, and the soles of its long feet are tan with a circular orange pad in the center. On its back are two horizontal brown stripes. Its long, thin tail has a lightning bolt-shaped end. This lightning bolt is chipped on females. Raichu exudes a weak electrical charge from its body and glows slightly in the dark.
"
27,dataset/images/27.png,"Sandshrew is a bipedal pholidote Pokémon (though it runs on all fours in Pokémon the Series)[1]. Its brick-patterned yellow hide is dry and tough, blends in with desert sand, and protects its soft white underbelly and muzzle. Sandshrew has blue, almond-shaped eyes, a pointed snout, and triangular ears with white insides. Its tail is thick and conical. It has two long claws on each foot and three sharp claws on its forepaws, which are used to burrow.
"
28,dataset/images/28.png,"Sandslash is a bipedal, ground-dwelling pholidote Pokémon. Although Sandslash is usually bipedal, it can run on all fours. Most of its body is yellow with a white underbelly. It has a narrow muzzle, almond-shaped blue eyes, and a thick tail. Its back is mostly covered in sharp, brown quills from its tough, dry hide. It has two large claws on its paws and feet. These claws are its primary weapons and are used for slashing, but can also be used for burrowing. Its claws and spikes can both break off, but they grow back quickly and are shed regularly. Sandslash's broken parts can be used to carve plows for tilling farm fields. The claws can become harder and smoother if they live in drier areas.
"
29,dataset/images/29.png,"Nidoran♀ is a small, quadrupedal, mammalian Pokémon. It has large, spiny ears, oversized front teeth, red eyes, and whiskers on each cheek. It is light blue with several darker blue spots. There are two white claws on each of its paws. Its back is covered with small toxic spines, and it has a small forehead horn.
"
30,dataset/images/30.png,"Nidorina is a quadrupedal, sky-blue mammalian Pokémon with dark-blue patches. It has red eyes, large, spiny ears, and two pointed teeth protruding from its upper jaw. It possesses large poison spikes, which it retracts whenever it is with a group, feeding its children,  or resting in its burrow. Its paws have three claws each, and it is able to stand on its hind legs. The hind legs are longer and thicker than its forelegs. It has a stubby tail. Nidorina is a female-only species.
"
31,dataset/images/31.png,"Nidoqueen is a large, bipedal blue mammalian  Pokémon with distinct reptilian features. Its body is encased with extremely hard scales that serve as excellent protection from any attack and stand up when Nidoqueen is excited or provoked. It has a blunt snout, narrow brown eyes, and large ears with brown insides. There is a small horn on its forehead, a single spine on each ear, and a line of toxic spikes running down its back. Each hand has three short claws, and each foot has two claws. Its lower jaw, the front of its abdomen, and two plates on its chest are cream-colored. It has a thick, powerful tail. Nidoqueen is a female-only species. As stated in An Illustrated Book of POCKET MONSTERS, it cannot lay Eggs as it loses the ability to do so upon evolution.
"
32,dataset/images/32.png,"Nidoran♂ is a small, quadrupedal, mammalian Pokémon. It is pinkish purple with darker patches. It has large, spiny ears with teal insides, oversized front teeth, and red eyes. Its back is covered with three lines of large spines that can release potent poisons if threatened. The center line of spines is taller than the other two. The size of the long, pointed horn on its forehead is indicative of the strength of its venom. Nidoran♂ is a male-only species.
"
33,dataset/images/33.png,"Nidorino is a light-purple, quadrupedal mammalian Pokémon. It has several darker purple patches across its body. It has large, spiny ears with teal insides, narrow black eyes, and a long snout with two pointed teeth protruding from the upper jaw. Nidorino has a ridge of toxic spines on its back and a long, pointed horn on its forehead. The horn is harder than a diamond and can secrete poison on impact. The more adrenaline Nidorino has in its body, the more potent the poison is. Its short legs have three claws on each foot. Nidorino is a male-only species.
"
34,dataset/images/34.png,"Nidoking is a large, bipedal, purple mammalian Pokémon with distinct reptilian features. It has narrow eyes, large, spiny ears, fur-like tufts on its cheeks, and a short snout filled with pointed teeth. A long, venomous horn is on its forehead and a ridge of spines down its back. Gray plates cover its chest and belly, with a gray, rounded spine on each elbow. Each hand has three claws, while each foot has only a single hoof-like nail. It has a long, powerful tail. Nidoking is a male-only species.
"
35,dataset/images/35.png,"Clefairy is a bipedal, pink Pokémon with a chubby, vaguely star-shaped body. A small, pointed tooth protrudes from the upper left corner of its mouth. It has wrinkles beside its black, oval eyes, a single dark pink oval marking on each cheek, and large, pointed ears with brown tips. A tuft of fur curls over its forehead, much like its large, upward-curling tail. Each stocky arm has two small claws and a thumb on each hand, and both feet have a single toenail. There is a pair of tiny, butterfly-shaped wings on its back. Though incapable of flight, Clefairy's wings can store moonlight and allow it to float.
"
36,dataset/images/36.png,"Clefable is a tall, pink Pokémon with a vaguely star-shaped body. It has long, pointed ears with dark brown tips and black, oval eyes with wrinkles on either side. A curled lock of fur hangs over its forehead, much like its long, tightly curled tail. On its back is a pair of dark pink wings; each wing has three points. Its hands have three fingers each, and its feet have two clawed toes and dark pink soles.
"
37,dataset/images/37.png,"Vulpix is a small, quadrupedal, canine Pokémon. It has a red-brown pelt with a cream-colored underbelly. It has brown eyes, large, pointed ears with dark brown insides, and a triangular dark brown nose. Its paws are slightly darker than the rest of its pelt and have light brown paw pads. On top of its head are three curled locks of orange fur with bangs, and it has orange tails with curled tips. It is most commonly seen with six tails. However, Vulpix is born with only a white tail that splits as Vulpix grows. The tails grow hot as Vulpix approaches Evolution.
"
38,dataset/images/38.png,"Ninetales is a quadrupedal canine Pokémon covered in thick, luxurious golden-white fur. It has a small mane of thicker fur around its neck and a long, fluffy crest atop its head. It has slender legs with three-toed paws and nine long tails with pale orange tips. It has red eyes, pointed ears, and a triangular black nose.
"
39,dataset/images/39.png,"Jigglypuff is a pink Pokémon with a spherical body. It has pointed ears with black insides and large, blue eyes. It has small, stubby arms and slightly longer feet. On top of its head is a curled tuft of fur. Its body is filled with air, and, as seen in Pokémon Stadium, Jigglypuff can deflate until it is flat. It can float by drawing extra air into its body, as demonstrated in Super Smash Bros.
"
40,dataset/images/40.png,"Wigglytuff is a balloon-like Pokémon with leporine features, a bean-shaped body and stubby arms and legs. A fluffy, curled tuft of fur on its head is described as perfectly heavenly. It has long, rabbit-like ears with black insides and a slightly lighter color at the tips. Its large, blue eyes are covered in tears that quickly wash away debris. It is covered in pink fur with a white belly. This fine layer of fur is so soft that those who touch it, including other Wigglytuff, will not want to stop. As a result, Wigglytuff is a highly sought-after Pokémon because of its bouncy body and fur. It sheds seasonally, and people gather the fur to spin into yarn. It is proud of its fine and delicate fur.
"
41,dataset/images/41.png,"Zubat is a blue, chiropteran Pokémon. While it lacks eyes, it has pointed ears with purple insides and a mouth with two sharp teeth on each jaw. A male will have larger fangs than a female. It has purple wing membranes supported by two elongated fingers and two long, thin tails.
"
42,dataset/images/42.png,"Golbat is a large, blue, chiropteran Pokémon with purple wing membranes. It has small eyes with slit-like pupils, along with tiny triangular ears with purple insides, and a massive mouth with two fangs in each jaw. The fangs are smaller on a female Golbat. While its mouth seems to be otherwise empty, Golbat occasionally displays a long, purple tongue. It has short legs with long, tiny feet. Despite this, Golbat can walk skillfully on the ground.
"
43,dataset/images/43.png,"Oddish is a Pokémon that resembles a blue plant bulb or a root vegetable. It has a round body, beady red eyes, a small mouth, and ovoid feet. Five large, green leaves sprout from its head. As demonstrated in the Pokémon the Series episode Foul Weather Friends, these leaves are prehensile and can be used to scale vertical surfaces and catch light objects. When defeated in the Pokémon Stadium series, Oddish's leaves fall off its head. Known by the scientific name Oddium Wanderus, Oddish lives in grasslands.
"
44,dataset/images/44.png,"Gloom is a blue, bipedal Rafflesia-like  Pokémon with rudimentary hands and feet. On its head is a flower with spherical petals surrounded by four reddish-brown leaves. The petals are a dark reddish-brown and have white spots. A female displays a single large spot on each petal, while a male will have many smaller spots. Gloom's eyes are wide and often appear closed and its lips are thin and purple.
"
45,dataset/images/45.png,"Vileplume is an indigo, bipedal  Rafflesia-like  Pokémon with rudimentary hands and feet. It has beady red eyes and a small mouth, and its head and torso are a single joined segment. On its head is a massive red flower with five bulky petals and an orange-brown center. Vileplume's flower is said to have the largest petals in the world and is almost too heavy for the Pokémon itself to support. The rounded petals of the flower are red and covered with white spots. A female Vileplume has fewer, but larger, spots on its petals. When defeated in the side series games, Vileplume's body appears to either deflate or withers while the flower remains.
"
46,dataset/images/46.png,"Paras is an orange, insectoid Pokémon that resembles the nymph stage of a cicada. Its ovoid body is segmented, and it has three pairs of legs. The foremost pair of legs is the largest and has sharp claws at the tips. There are five specks on its forehead and three teeth on either side of its mouth. It has circular eyes with large pseudopupils.
"
47,dataset/images/47.png,"Parasect is an orange, insectoid Pokémon that has been completely overtaken by the parasitic mushroom on its back. It has a small head with pure white eyes and a segmented body that is mostly hidden by the mushroom. It has three pairs of legs with the foremost pair forming large pincers. The fungus growing on its back has a large red cap with yellow spots throughout.
"
48,dataset/images/48.png,"Venonat is an insect Pokémon with a spherical body covered in purple fur. The fur releases a toxic liquid and it spreads when shaken violently off their bodies. A pink pincer-like mouth with two teeth, stubby forepaws, and a pair of two-toed feet are visible through its fur. Its limbs are light tan. There is also a pair of white antennae sprouting from the top of its head. However, the most prominent feature on its face are its large, red compound eyes. Venonat's highly developed eyes act as radar units and can shoot powerful beams.
"
49,dataset/images/49.png,"Venomoth is a lepidopteran insect Pokémon whose body is varying shades of purple. Its head and thorax are both light purple, and it has bulbous, round, light blue eyes, a small mandible, and a three-point crest on its head. Tucked close to its thorax are three pairs of tiny, whitish legs. Its abdomen is paler with several black, zigzagging stripes encircling it. It has two pairs of pale purple moth-like wings with thin black venation. Its official artwork and various TCG cards depict the wings as translucent.[1]
"
50,dataset/images/50.png,"Diglett is a tiny, brown Pokémon that seems to be perpetually buried within the earth, leaving only its head visible. Its small stature makes it both the lightest and shortest Ground-type. It has beady black eyes and a large, round, pink nose. A Diglett in Pokémon Mystery Dungeon: Red Rescue Team and Blue Rescue Team mentions that it has feet, though their size and appearance are unknown. It spends much of its time underground and has very thin skin. If Diglett is exposed to sunlight, its blood will heat up and cause it to grow weak.
"
51,dataset/images/51.png,"Dugtrio is a set of Diglett triplets sharing a single body, although no one knows what its body looks like since it's perpetually buried underground. Each head is incredibly tough with a smooth surface, and has brown skin, black eyes, and a large, round, pink nose. Dugtrio's three heads think the same thoughts and act cooperatively, though on rare occasions may fight over which head gets to eat first. In order to make burrowing easier, each head will bob up and down to loosen the soil. Dugtrio can tunnel under the earth at 60 mph (100 km/h) to a depth of 60 miles (100 kilometers), triggering tremors and earthquakes. It is capable of burrowing endlessly. Dugtrio lives in tunnels and caves under the earth. Dugtrio is considered important for agriculture as its digging aerates the soil and makes it suitable for farming. As shown in the Pikachu short Pikachu's Rescue Adventure, Dugtrio sometimes lives in hollow trees in forests. It maintains the soil and plants trees to revitalize wooded areas. As mentioned in Pokémon Sleep, the three triplets of Dugtrio is known to sleep together, never separating from each other. The trio's teamwork remains strong even when sleeping.[1]
"
52,dataset/images/52.png,"Meowth is a small, feline Pokémon with cream-colored fur that turns brown at the tips of its hind paws and tail. Its ovoid head features four prominent whiskers, wide eyes with slit pupils, two pointed teeth in the upper jaw, and a gold koban coin embedded in its forehead. Its ears are black with brown interiors and are flanked with an additional pair of long whiskers. Meowth can freely manipulate its claws, retracting them when it wants to move silently. The tip of its tail curls tightly. Meowth is a quadruped with the ability to walk on its hind legs. While the games almost always depict Meowth on two legs, it is stated in the Pokémon the Series episode Go West Young Meowth that Meowth normally walks on all fours.
"
53,dataset/images/53.png,"Persian is a large, quadrupedal, feline Pokémon. Its fur is pale tan with the exception of its black-rimmed ears. It has a short muzzle with a small, black nose, red eyes with slit pupils, rounded ears, a pair of pointed teeth in its upper jaw, and three whiskers on either side of its face. Its thick whiskers are very sensitive to changes in air movements, enabling it to detect its prey by movement alone. In the center of its forehead is a red jewel. Its long tail has a distinctive curl at the end. Persian communicates with body language and holds its tail upright to signal its intention to pounce. It has long legs and three-toed paws with retractable claws. Persian's lithe muscles also enable it to walk without making a sound.
"
54,dataset/images/54.png,"Psyduck is a yellow Pokémon resembling a duck or a bipedal platypus. On top of its head are three thick strands of black hair, and it has a wide, flat cream-colored beak. Psyduck's eyes seem vacant and have tiny pupils. Its legs and tail are stubby, and it has cream-colored webbed feet. There are three claws on each of its hands.
"
55,dataset/images/55.png,"Golduck is a blue, bipedal, duck, or platypus-like Pokémon. It has red eyes, a cream-colored beak, a red gem in the center of its forehead, and four spikes on the back of its head. Its hands and feet all have three clawed digits with cream-colored webbing in between. Its body is specially adapted to have a hydrodynamic shape, and it has a long tail that it uses as a rudder to steer. Golduck is sometimes mistaken for the Japanese monster, and the physical inspiration for Golduck, the Kappa due to its general humanoid shape, beak, and webbed hands and feet.
"
56,dataset/images/56.png,"Mankey is a small, simian Pokémon, similar to a New World monkey. It is bipedal and has a round body covered in whitish, shaggy fur. Its nose is similar to a pig's snout, and it has narrow, red eyes and triangular ears with brown insides. Mankey's three-fingered hands, two-toed feet, and the tip of its curved, prehensile tail are brown.
"
57,dataset/images/57.png,"Primeape is a bipedal, simian Pokémon with a round body covered in light beige, shaggy fur. There is usually a throbbing vein on the left side of its forehead, and it has triangular ears with pink insides, narrow eyes with tiny pupils, and a pink, snout-like nose. Its arms and legs are brown and have metal shackles on the wrists and ankles. This is probably indicative of a method of training with weights. The hands have no visible fingers, instead resembling mittens or boxing gloves, and the feet have two toes.
"
58,dataset/images/58.png,"Growlithe is a quadrupedal canine Pokémon. It has orange fur with black stripes along its back and legs. The fur on its muzzle, chest, belly, and tail is beige, as is an additional tuft of fur on top of its head. Growlithe's coat is noticeably longer on its chest and tail. It has gray eyes, a black nose, and large, round and triangular ears with beige interiors. Its forepaws have two visible claws, while its hind paws have three toes each. Each paw has a brown pad.
"
59,dataset/images/59.png,"Arcanine is a quadrupedal, canine Pokémon with an orange pelt marked by jagged black stripes. It has diamond-shaped ears with beige insides, black eyes, a round, black nose, and two pointed teeth protruding from its upper jaw. Its head, muzzle, and chest are covered in shaggy, beige fur, except for two oval sections around each eye and ear. Long tufts of fur grow behind its elbows and around its ankles. Its underside is black, and it has a billowing, beige tail that is bent in the middle. Each paw has three toes and a round, pink pad.
"
60,dataset/images/60.png,"Poliwag is an amphibian Pokémon resembling a blue, spherical tadpole. It has large eyes and pink lips that can also act as suction cups for rocks. Its skin is very thin, but flexible and difficult to puncture. There is a black and white swirl on its abdomen, which is actually its internal organs showing through its semitransparent skin. The swirl is clearer following a meal and will have a white tinge if the Pokémon is affected by disease. The direction of the belly spiral differs by area; the equator is thought to have an effect on it.
"
61,dataset/images/61.png,"Poliwhirl is a blue, bipedal amphibian Pokémon with a spherical body. It has bulbous eyes that protrude from the top of its head. A black and white swirl covers its belly, which is actually its organs showing through its thin skin. It appears to have white gloves on its hands and rounded, digit-less feet. When out of water, it sweats to keep its skin moist and healthy. This keeps it covered in an oily fluid that allows it to slip away from enemies. All of its skin feels this way except where its swirl is, which is instead very smooth. The swirl on its belly undulates slowly and staring at it induces drowsiness.
"
62,dataset/images/62.png,"Poliwrath is a blue, bipedal amphibian Pokémon with a round body and muscular arms. It has bulbous eyes that protrude from the top of its head and its belly is covered by a white and black swirl. There appear to be white gloves on its hands, and it has rounded, digit-less feet.
"
63,dataset/images/63.png,"Abra is a bipedal mammalian Pokémon that is primarily yellow. Its face is kite-shaped with a small, pale yellow snout and two short, pointed ears with pale yellow interiors. Its wide eyes are normally closed. Abra's body is segmented with black skin visible between its joints and along its neck. It has two brown, pauldron-shaped extensions on its shoulders, as well as a brown, fauld-like piece around its chest. It has three digits on each hand and foot, but its fingers are considerably shorter than its toes. Two of its toes face forward and one faces backward. Its tail is thick and long, with a brown band located near the tip.
"
64,dataset/images/64.png,"Kadabra is a primarily yellow, slightly humanoid Pokémon with mammalian features. It has two long, pointed ears on top of its head, a red star on its forehead, narrow, deep-set eyes, and wide cheeks leading down to a thin snout. Extending from each side of its snout are two mustache-like tufts of fur; a male will have a longer mustache than a female. Kadabra's torso is segmented with bulky shoulders, a thick, brown chest, and a small abdomen marked by three red, wavy lines. Attached to the Pokémon's abdomen is a large, thick tail encircled with a brown band near its base. Its arms are thin with brown elbows and end in three-fingered hands with white claws. Its legs have prominent knees and large, three-toed feet, also ending in white claws. Two of its toes face forward and one backward. Kadabra is always seen carrying a silver spoon, which amplifies its telekinetic powers. A gold spoon does not work as an amplifier and Kadabra is only half as strong without a spoon.
"
65,dataset/images/65.png,"Alakazam is a slightly humanoid Pokémon with a large mustache. A female Alakazam has a significantly shorter mustache than a male. It has a long, thin snout, narrow eyes, ear-like spikes extending from the top of its head, and an additional spike protruding from each cheek. Covering its yellow, skeletal body are brown armor-like sections over its chest, shoulders, forearms, and knees. There are three toes on each foot, each of which has a white claw. Two of the toes face forward, while one faces backwards. It wields a silver spoon in each hand, which act as amplifiers for its psychic abilities. The spoons are created using its psychic powers and it may give one to someone it trusts. According to its Pokémon Ultra Moon Pokédex entry, anything eaten with the spoon becomes delicious.
"
66,dataset/images/66.png,"Machop is a humanoid, bipedal Pokémon that has blue-gray skin. It has three brown ridges on top of its head, large red eyes, and a relatively flat face. On either side of its chest are three, thin, rib-like stripes. Its feet appear to have no toes, while its hands have five fingers. Machop also has a short, stubby tail.
"
